dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t8,kB5500,p16384,ms240,ms60,ms20,t16,kB1500,p6144,ms160,ms800,ms25,462390f186b264036b4f750964b3d98d420c457057ec546f74fd5384b8dded4d
t8,mB8,p32,ms60,ms170,ms100,t4,mB9,p8192,ms500,ms70,ms95,1b54ef0549553c12c3b374ec430152573aab5fd25939f62462c29d9bdd09966b
t3,kB15,p8192,ms70,ms150,ms40,t16,kB4500,p16384,ms60,ms80,ms140,f1ea7253c3fb53b61a9866e28316dfbd5b75d9f47c450d2eb13be9c55ea577ad
t4,mB30,p40960,ms240,ms110,ms85,t3,kB5,p256,ms200,ms250,ms70,6b29abb2196fa4929fdaee52ed14d9b4535167b2eb3e87212cbb9869723b5dda
t32,kB15,p512,ms60,ms450,ms10,t4,kB25,p16384,ms240,ms120,ms75,b64c916d382c72536e10e6b85480c04b810cc5d23e704a24c3808c31bdde641e
t4,kB750,p64,ms4000,ms130,ms50,t4,kB7500,p12288,ms170,ms2400,ms85,9c33ba52cbf2c23f6d4d76f272c3f41a4103490ec237d5193fb41c5d72eeaf2e
t4,mB16,p12288,ms60,ms140,ms130,t2,kB10,p28672,ms60,ms70,ms70,8e4d4cad2ff9c9bf2c338f582c6cd15c6636d5fd0294d21b8f1ee8603ee80b3e
t8,kB5500,p12288,ms350,ms140,ms30,t4,kB2,p16384,ms50,ms1600,ms55,9cba10eb17f86b4296b8cf663875dd5c3a93650dbca8f5713009ad66fe45a499
t3,kB4000,p128,ms500,ms350,ms85,t16,kB4500,p6144,ms200,ms300,ms180,602e4d5d09f94cee5e4441b99e6782bb065a15ac7f0c1f851bd3074d5b1e64c8
t32,mB15,p20480,ms20,ms50,ms25,t3,mB18,p40960,ms100,ms70,ms160,03a2dbac3daebda77e2386225da58fa4c82a10c313a6dbd40849d217392646b5
t32,kB375,p256,ms50,ms450,ms180,t8,kB2000,p8,ms190,ms60,ms70,67167fade5bd64a33e0d8c88453c15e8c048dbf93cc3be901cfaeb5697677bf1
t8,kB8,p64,ms450,ms190,ms100,t8,kB7500,p24576,ms80,ms1200,ms190,7bf89f82cf2779f2741084ba2f8a4278c2b064569407e67811d9b9ac77fc51da
t16,kB2000,p28672,ms120,ms190,ms75,t2,kB6500,p1024,ms100,ms90,ms35,d8b7346598bde8a48d000b9ee10bed315b41d3f075e6158cb7f022a23d6f2311
t6,kB10,p16384,ms20,ms100,ms190,t3,kB15,p32,ms350,ms10,ms85,80f7c24197b3460ac3f14a04a65757e1be2b10c14f3e3dad2ca674ce5ddde78a
t4,mB11,p57344,ms800,ms70,ms160,t4,kB1000,p20480,ms500,ms2400,ms70,7b2129399766c35d0185cc05c701994d1b79dbc631fe613755eee5413c47e750
t4,kB8,p32,ms20,ms300,ms140,t4,kB5,p65536,ms220,ms200,ms20,b5e7f5faa58f4ac04995f54aa3326d20c4dd0b76fca2661fb60a37a6ab3cd8ba
t2,kB25,p65536,ms450,ms1200,ms95,t16,kB1250,p28672,ms150,ms450,ms160,b9bda0958fd43588c6056195aeaf6355018772cb50a7a78d801461b937fc6e6a
t2,mB40,p512,ms4000,ms70,ms20,t4,kB4000,p6144,ms30,ms250,ms95,f36125863bd6ca8722f60cd7dbd5375c7103ad8c626e419969612438e175d88f
t8,mB9,p4096,ms40,ms80,ms130,t4,kB8,p6144,ms130,ms2400,ms140,5c0785ed1202a5ca1e9dd7adefe5f1b5a4277929e140d0dea655185f927042e3
t2,kB8,p16384,ms90,ms2400,ms170,t16,kB7500,p512,ms170,ms100,ms70,e258c4f39ea87a02c78f9a50772e1e1c0313441b2260d92516e214937f92091a
t32,kB4000,p32768,ms170,ms70,ms150,t2,kB10,p2048,ms170,ms250,ms40,748799b9d7bc38ecb42fd634283ca0b9c7cc428940ada37390a2bdfda6fb9e89
t32,mB17,p8,ms160,ms2400,ms150,t6,mB40,p2048,ms70,ms30,ms10,401b5cbd059c7a2ef52f0cb675bcfd9b2f87bd2ca91119deb61f963b4f3200fc
t16,mB12,p12288,ms120,ms170,ms160,t32,mB14,p128,ms10,ms400,ms25,c2055d823475fce765330efd1a640c813436975599045134fb936b95c71e9251
t16,mB40,p57344,ms90,ms150,ms190,t6,mB40,p128,ms190,ms350,ms20,376da39253d863356c5c83a5d750daa4c9090457ad4ea4ff3c4e651bbe6d90cf
t3,kB2,p256,ms4000,ms500,ms190,t4,kB5500,p6144,ms40,ms1600,ms100,eb198d280444dadcd2fcd3c6273264f50391c947d40f86f4d02c73889dbc54c1
t32,kB5500,p32,ms90,ms450,ms190,t8,kB750,p65536,ms20,ms200,ms80,01100516ac4538669b3c28c9e5e7d1113f091a0d668da6f52e8947a5af195ce8
t32,kB750,p512,ms1000,ms80,ms75,t2,mB11,p8192,ms4000,ms180,ms75,cb01c171d8216a8cd49e13fd57b1cb26b00b836f52be027fa95ed7789c1346d5
t32,kB7500,p8,ms500,ms130,ms160,t3,kB4000,p32768,ms90,ms30,ms65,13b14cd7aef0f71040a4452fe158e092dee4b8e1c8a711d1abe264f460c68f95
t32,mB9,p40960,ms60,ms450,ms40,t3,mB8,p2048,ms240,ms20,ms85,bb34e636dcff6d58789fdc7847a24f8df24f416cc02167141dcfd5a04fad4c2d
t3,kB6000,p40960,ms400,ms110,ms90,t2,kB500,p8192,ms240,ms400,ms70,14b5b4616468a5fa4702efcb07b786106e2e6470665b87a30ef9111e9202c52c
t6,kB2,p16,ms1000,ms30,ms40,t2,kB100,p28672,ms230,ms1200,ms160,c6e5a75b4eb940da69fa446bc7e79654bf256cfc042698218617f10f7e991233
t32,kB15,p40960,ms240,ms80,ms35,t3,mB30,p8192,ms140,ms20,ms140,60aab096783fc42274ee958825019e6e4607b2ad0cf2284bded60740223076c9
t16,kB75,p57344,ms160,ms70,ms10,t4,kB250,p512,ms400,ms800,ms140,c5004be3348a039ed25af0010a5589f3225400d3b8c477ee15fffc8167904426
t16,kB7000,p512,ms30,ms2400,ms10,t16,kB250,p16,ms4000,ms2400,ms160,8f9260015d3d7dda46c870f0a2afc0b7caeeb0ee8d7c61800bb0b1740d70e490
t32,mB20,p8192,ms30,ms2400,ms20,t3,kB6000,p1024,ms250,ms200,ms55,38b11417b9fc789318b1739ebed43c57544e7627aba451906bae4491eb962b97
t6,kB1500,p8192,ms10,ms10,ms45,t6,mB10,p24576,ms400,ms120,ms20,04f5348cdbe9f73e9daca8b0dcdcacd8de79a9949ecfb2051c5a59696e53e488
t4,kB2,p12288,ms90,ms1600,ms55,t6,kB500,p1024,ms300,ms10,ms140,ca00d9a260dc9e2662a2eb1b248059b4ce319773376134ad08160f2d94631de5
t4,kB15,p4096,ms200,ms2400,ms130,t32,mB10,p28672,ms200,ms1000,ms190,3cf3f7d4d8258d768a03dd31791bbdcc90d747ccd82e72251578e456d82a5474
t8,mB8,p8192,ms110,ms20,ms120,t32,kB8,p32768,ms500,ms90,ms100,0ba45821815fc7ce1db43eadcb64b431742f1a847b52d4e022c1228d2498ab5b
t4,mB8,p49152,ms10,ms70,ms15,t32,kB375,p12288,ms90,ms140,ms190,868861d198e38cc1dc7ee586f224a2b3d68f2d2edb2b1878bfbb0db4a9b9a731
t6,mB12,p2048,ms800,ms1200,ms180,t3,kB4500,p8,ms500,ms20,ms30,c14125f7e13211fadf5920f4b12fcb590c0fb85fba627b3ed24e07254f190ce6
t16,kB5,p40960,ms350,ms90,ms10,t3,kB4000,p8,ms400,ms1200,ms110,4ded33b56b46a32eb07278eaa12ba57d5b5acc11ccc2eaea0e70da700938ce16
