dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t16,mB20,p32,ms2000,ms800,ms10,t4,mB20,p4096,ms250,ms800,ms140,09a237c5e40f06428108952e697d592e29bb1d40c3f1c5def7a2b1ee0468ad91
t3,mB20,p40960,ms200,ms200,ms60,t2,kB6000,p128,ms250,ms800,ms170,791d83868397b637b81caaca6d99628bf8d069a1230bbd06d951ef79ded4b772
t2,mB25,p49152,ms500,ms2000,ms5,t2,mB25,p16384,ms300,ms100,ms170,a039ef8a6fe04f34fb14712ba9756f287a43b5135d73595a23a90d7a0a6756f7
t2,kB100,p32,ms500,ms2000,ms200,t8,mB8,p65536,ms350,ms800,ms100,27b02c276c858e705f4878bdcd7cc2720cdbc4ad0416057be43f64407a41a9f5
t8,mB20,p128,ms2000,ms500,ms160,t8,mB20,p4096,ms300,ms40,ms200,cfa1fa3b962285ab2afed16b2d5af934ffb9cddaeca5334877138807930acfb5
t8,mB20,p4096,ms1000,ms60,ms80,t32,kB1000,p40960,ms400,ms60,ms5,aac8e774cc1e574d72f5ebd9945b184ab1b47964d26f29dbd1585cc0bb19d3f2
t6,mB8,p57344,ms400,ms200,ms80,t6,kB1000,p128,ms2000,ms800,ms180,69dbd77ca9907755d8ff76a68e2c59750ee7284177927a8f178a2926bd3d45a7
t4,kB8,p32,ms50,ms150,ms170,t4,kB25,p128,ms50,ms800,ms100,d2cfd1b8fa3199da094fbeb54cdf70413f5642de49b7f12114cb04993cf0c1fd
t16,kB6000,p32768,ms500,ms150,ms5,t6,mB8,p32,ms50,ms300,ms20,24b377b7ffb0568db294985a1a3a1921ca030e08f80b1b483aeaf2af5a34a8d1
t16,kB500,p40960,ms300,ms2000,ms160,t4,mB8,p57344,ms1000,ms200,ms120,7e4189ad87773a4cffd40f58991518450edef5cd9969c45ad6a2e2a16c5bb5e8
t2,mB20,p65536,ms250,ms2000,ms200,t8,mB8,p8192,ms350,ms2000,ms160,cd0daa7821efe0605ae7141bf126f8162b2126208fcc87965669326aadbee41b
t3,kB1000,p65536,ms4000,ms500,ms200,t32,mB8,p57344,ms800,ms300,ms5,e7d9462f4231fe2259b0e371ea48acca197796ac6f0b14bdf4bce6b95260b55a
t3,mB8,p57344,ms100,ms2000,ms200,t16,kB8,p40960,ms800,ms20,ms160,0d69f8c7747c14d62cf09fb6361f959ae43fb51fea8e408cae9e0ea4a3c9e056
t6,mB16,p40960,ms250,ms2000,ms170,t2,mB30,p49152,ms4000,ms20,ms160,378071335be9d3992adc715d062a30c8dcc5c346667c80d2f14cf6fc3def4bb3
t6,mB20,p49152,ms200,ms200,ms200,t32,mB8,p16,ms400,ms2400,ms20,eb1a99cc86acec5069e6a3c734fef537af1167d418bd126a9183dc0f9b2efb9d
t2,kB25,p32,ms500,ms60,ms5,t16,mB25,p32,ms800,ms150,ms160,04cbecb521cc09830a424359b904fb7ef545dcbbe181bb1c54fd8580909cbc06
t8,mB16,p65536,ms1000,ms300,ms170,t16,mB8,p4096,ms200,ms150,ms160,31ba5285f31f7165d448a75759d6ea6edcb96867f0bd51cc7418e5e8a8af38ca
t4,kB100,p57344,ms350,ms60,ms200,t3,mB20,p57344,ms50,ms60,ms160,ce8c3041f0251667216626059c47dad2b8f9aef49e3e03e0aaeae8494a135831
t4,mB20,p57344,ms350,ms1200,ms160,t32,kB100,p512,ms400,ms100,ms170,b22b7b5808aa58eb0a1d3af50bd2ad7c925cf5d1e466b2181bd5e8fe9e9fb259
t8,mB25,p16384,ms100,ms80,ms120,t32,mB8,p8192,ms2000,ms100,ms80,1cab58f9c3ae88767ea479111c6d5bc8ef0a9c0e8c36e3fc200d322f8faa54d8
t4,mB20,p512,ms4000,ms2400,ms40,t32,kB8,p16,ms1000,ms20,ms10,f0e795a1230028ae83e800e976a084162dd0efe416ecec9e2488821c80c474a0
t6,kB25,p32,ms800,ms2400,ms160,t3,mB25,p65536,ms4000,ms800,ms140,f7650eecb33c742d22a71c300471dd023d3d857e55361d24fa886451f58ce34b
t6,kB1000,p16384,ms4000,ms800,ms160,t3,mB8,p65536,ms800,ms80,ms100,857f2034b5fb2d9257c86583c66651563fac4e9549c27b47d86bbeafa096cf6e
t2,mB25,p32768,ms50,ms200,ms120,t4,kB8,p32,ms250,ms200,ms80,e85ce411be9e98af9a0cae25018232abb37752fe87b36ea11b94f46da81bdaf7
t8,mB25,p32768,ms350,ms150,ms10,t2,mB20,p128,ms500,ms300,ms170,5deb838e5f145fea507459f2508f93535edb45e52c1c1fcbe4403758398c5bbd
t16,mB16,p128,ms800,ms100,ms160,t4,mB20,p32,ms2000,ms200,ms60,4bed9120f6a8e0450b0a261ee0095f50e3d8f6ab759c18bda78d1dda13f35cb9
